energy,photons
16,1.807248e+7
17,1.894415e+7
18,1.953421e+7
19,1.991151e+7
20,2.012422e+7
21,2.016404e+7
22,2.007998e+7
23,1.988266e+7
24,1.958423e+7
25,1.921875e+7
26,1.882392e+7
27,1.837457e+7
28,1.790021e+7
29,1.742690e+7
30,1.692790e+7
31,1.643656e+7
32,1.593563e+7
33,1.545396e+7
34,1.498395e+7
35,1.451553e+7
36,1.405080e+7
37,1.360903e+7
38,1.317935e+7
39,1.276549e+7
40,1.235713e+7
41,1.196994e+7
42,1.159835e+7
43,1.123389e+7
44,1.088529e+7
45,1.055193e+7
46,1.022473e+7
47,9.911928e+6
48,9.611161e+6
49,9.322899e+6
50,9.043219e+6
51,8.775443e+6
52,8.517696e+6
53,8.267196e+6
54,8.027753e+6
55,7.797959e+6
56,7.573500e+6
57,7.357617e+6
58,3.184382e+7
59,4.981132e+7
60,6.756650e+6
61,6.570999e+6
62,6.389134e+6
63,6.214322e+6
64,6.047495e+6
65,5.883011e+6
66,5.725755e+6
67,1.934137e+7
68,5.426279e+6
69,8.853294e+6
70,4.759756e+6
71,4.650523e+6
72,4.539274e+6
73,4.436284e+6
74,4.334453e+6
75,4.233711e+6
76,4.135637e+6
77,4.040248e+6
78,3.946271e+6
79,3.854365e+6
80,3.765458e+6
81,3.678052e+6
82,3.592428e+6
83,3.509224e+6
84,3.428251e+6
85,3.347776e+6
86,3.269923e+6
87,3.194349e+6
88,3.119186e+6
89,3.046423e+6
90,2.975647e+6
91,2.905683e+6
92,2.837567e+6
93,2.771480e+6
94,2.705770e+6
95,2.641664e+6
96,2.579518e+6
97,2.518270e+6
98,2.458320e+6
99,2.399789e+6
100,2.342467e+6
101,2.285702e+6
102,2.230799e+6
103,2.176786e+6
104,2.123588e+6
105,2.071606e+6
106,2.021123e+6
107,1.970621e+6
108,1.921725e+6
109,1.874126e+6
110,1.826556e+6
111,1.780045e+6
112,1.734773e+6
113,1.689978e+6
114,1.645766e+6
115,1.602913e+6
116,1.560440e+6
117,1.518467e+6
118,1.477657e+6
119,1.437376e+6
120,1.397474e+6
121,1.358430e+6
122,1.320254e+6
123,1.282068e+6
124,1.244786e+6
125,1.208454e+6
126,1.171898e+6
127,1.136123e+6
128,1.101245e+6
129,1.066358e+6
130,1.031972e+6
131,998378.9
132,964968.6
133,931636.5
134,899129.3
135,866949.7
136,834550.2
137,802993.9
138,771935.8
139,740258.8
140,709394.4
141,679247.8
142,648057.2
143,617655.8
144,588032.5
145,557324.7
146,527092.2
147,497649.8
148,467303.9
149,436995.8
150,407417.2
151,376132.9
152,343472.6
153,311598.8
154,280368.2
155,248947.5
156,218287.1
157,182213.4
158,119989.6
159,59258.46
160,0
